GMSL,year
-130.1,1900
-130.5,1901
-125.9,1902
-117.9,1903
-128.2,1904
-133.7,1905
-126.9,1906
-128.3,1907
-130.8,1908
-126.3,1909
-126.4,1910
-118.1,1911
-121.2,1912
-119.4,1913
-113.1,1914
-105.2,1915
-107.1,1916
-111.6,1917
-113.2,1918
-111.6,1919
-110.3,1920
-108.2,1921
-109.1,1922
-107.9,1923
-115.2,1924
-113.2,1925
-106.7,1926
-107.8,1927
-111.7,1928
-110.3,1929
-106.3,1930
-106.7,1931
-101,1932
-96.7,1933
-102.1,1934
-96.5,1935
-100.4,1936
-94.7,1937
-92.1,1938
-86.9,1939
-92.2,1940
-80,1941
-80,1942
-80,1943
-86.4,1944
-83.6,1945
-76.1,1946
-73,1947
-68.2,1948
-69.5,1949
-67.3,1950
-57.8,1951
-60.4,1952
-56,1953
-58.9,1954
-58,1955
-63.1,1956
-49.7,1957
-48.3,1958
-48,1959
-44.3,1960
-38.1,1961
-43.3,1962
-44.9,1963
-52.8,1964
-41.6,1965
-47,1966
-45.6,1967
-44.8,1968
-38,1969
-39.9,1970
-34.7,1971
-25.6,1972
-31.6,1973
-19.7,1974
-21.3,1975
-22.3,1976
-24,1977
-17.6,1978
-22.5,1979
-16.5,1980
-4.1,1981
-9.9,1982
-1.5,1983
-2.4,1984
-12.7,1985
-12.1,1986
-11.5,1987
-6.8,1988
-2.3,1989
0,1990
2.5,1991
3.2,1992
1.4,1993
6.6,1994
9.5,1995
13.6,1996
20.6,1997
10.7,1998
19.2,1999
20.5,2000
26,2001
28.4,2002
37.6,2003
37.2,2004
37.3,2005
41.6,2006
43.5,2007
52.2,2008
58,2009
65.7,2010
67.3,2011
76.1,2012
67.7,2013
