Entity,Code,Year,Oil (terawatt-hours),Gas (terawatt-hours),Coal (terawatt-hours)
Africa,,1965,316.77730010650544,10.552653000000003,335.5907572686832
Africa,,1966,347.368863196162,11.788922000000001,331.37197812520344
Africa,,1967,344.12966847072107,11.660342,341.010826888406
Africa,,1968,363.1425067293242,11.901662,355.4072587079686
Africa,,1969,368.62993197182993,14.177457000000002,357.50639456711264
Africa,,1970,409.3456166173373,17.536895,367.9708149254619
Africa,,1971,460.74091830108034,20.02041699,388.73192834061405
Africa,,1972,499.339412312327,26.614329056510996,392.44496455459625
Africa,,1973,536.6344732406361,42.48090161999999,414.9090023304431
Africa,,1974,555.1184176935685,47.545589956510995,432.14098680538626
Africa,,1975,581.4164769899894,57.618468650000004,459.07949328897803
Africa,,1976,650.0473991073231,65.74713429,481.95030734476967
Africa,,1977,684.2800918018633,73.58644182,492.92282312211705
Africa,,1978,716.2458667995543,105.14898662,477.93274097354475
Africa,,1979,760.3071803837969,160.88627512,504.55183424387053
Africa,,1980,811.9596630846279,204.149021733884,543.885685628317
Africa,,1981,859.8852986061552,249.78072977614502,636.1955236882933
Africa,,1982,904.4871091015399,269.467138229013,702.5677828299104
Africa,,1983,936.0344543904683,296.3740990882691,710.0489165210579
Africa,,1984,957.2511329116078,283.705528462274,762.6247720782411
Africa,,1985,978.2712109443971,303.252363399867,787.1902554375173
Africa,,1986,963.1666388505593,341.214647314617,805.3904154163455
Africa,,1987,1011.3645102369136,351.612582344789,828.3495231856209
Africa,,1988,1061.4132572460203,390.01233279110204,890.1926296755669
Africa,,1989,1096.8542052640466,404.119812341564,835.6744671551744
Africa,,1990,1115.9536500020645,414.13648976796304,878.1254018950482
Africa,,1991,1118.1862596750286,417.7836237877321,853.5168095586611
Africa,,1992,1139.430475017275,445.30251908961304,858.6388271558776
Africa,,1993,1154.3631994597772,445.069970322745,871.957549436638
Africa,,1994,1179.9130028361992,465.73978750209903,894.5019365134144
Africa,,1995,1222.5070828783246,496.700700977733,922.1579753228351
Africa,,1996,1254.7578380231882,523.399703486231,934.8996639327252
Africa,,1997,1291.835820276938,514.0855153120035,958.6789709796299
Africa,,1998,1322.5981017282754,542.9009104364476,936.6867800101916
Africa,,1999,1371.20370452099,545.5149524602233,965.901543584505
Africa,,2000,1377.3017696115571,602.7971663213591,963.9525180291063
Africa,,2001,1393.6522947681874,687.4480374503804,976.7593736557538
Africa,,2002,1417.2403455366084,726.1882411297113,935.5459232812815
Africa,,2003,1453.7952453513112,773.9899824872456,1018.290452876579
Africa,,2004,1526.0425242100332,851.3665505770233,1118.9433344607755
Africa,,2005,1605.6788553979438,890.0315285291263,1038.6508005530034
Africa,,2006,1606.4606853863402,937.7663214040687,1053.4369100108997
Africa,,2007,1675.3050747905145,1011.8871610126652,1070.914468523915
Africa,,2008,1763.8605428046546,1054.1270701438275,1180.2544612203699
Africa,,2009,1821.436026889642,1041.7276664330097,1174.814966793769
Africa,,2010,1913.0560884812635,1114.1311341117519,1164.1418394656448
Africa,,2011,1854.332346155414,1185.5756568776796,1144.9794651291982
Africa,,2012,1960.8563202702264,1262.8046079068367,1117.0874997636292
Africa,,2013,2039.5734653670916,1289.4776103756092,1133.4142208929861
Africa,,2014,2064.526722178909,1329.6518543285388,1189.6761007730413
Africa,,2015,2117.744464361529,1421.6335620221753,1108.521084711492
Africa,,2016,2156.14391639837,1446.1134800573848,1115.8872016556575
Algeria,DZA,1965,14.99107,8.08285,0.8141000000000002
Algeria,DZA,1966,19.689590000000003,8.39686,0.7908400000000001
Algeria,DZA,1967,18.352140000000002,8.141000000000002,0.6047600000000001
Algeria,DZA,1968,19.561660000000007,8.55968,0.63965
Algeria,DZA,1969,20.643250000000002,11.25784,0.8141000000000002
Algeria,DZA,1970,23.632160000000002,10.583300000000001,0.9652900000000001
Algeria,DZA,1971,26.609440000000006,12.01379,0.26749
Algeria,DZA,1972,29.23782,13.956000000000001,0.23260000000000003
Algeria,DZA,1973,31.854570000000006,19.4221,0.26749
Algeria,DZA,1974,35.30868000000001,22.480790000000002,0.22097
Algeria,DZA,1975,39.286139999999996,30.982320000000005,0.27912000000000003
Algeria,DZA,1976,45.08951000000001,36.6345,0.54661
Algeria,DZA,1977,51.172000000000004,39.04191000000001,0.70943
Algeria,DZA,1978,52.57923,62.69733,0.36053
Algeria,DZA,1979,63.034600000000005,88.65549000000001,0.8373600000000001
Algeria,DZA,1980,63.604469999999985,119.00979000000001,0.7443200000000001
Algeria,DZA,1981,68.48907000000001,154.70226,0.52335
Algeria,DZA,1982,72.62935,175.53159000000002,9.71105
Algeria,DZA,1983,81.53793,192.17412000000002,8.66435
Algeria,DZA,1984,90.24880000000002,168.83271,9.606380000000001
Algeria,DZA,1985,92.64458000000002,167.26266,10.02506
Algeria,DZA,1986,93.94714,183.1725,10.29255
Algeria,DZA,1987,94.87754000000002,187.35930000000002,12.304540000000001
Algeria,DZA,1988,94.99384000000002,211.11939,11.571850000000001
Algeria,DZA,1989,99.47139000000001,198.66366000000002,9.78083
Algeria,DZA,1990,106.48428000000001,212.16609000000003,7.664170000000001
Algeria,DZA,1991,105.47247000000002,209.54934000000003,7.908400000000001
Algeria,DZA,1992,105.98419,216.35289000000003,9.39704
Algeria,DZA,1993,105.58877000000004,194.16285000000002,7.652540000000001
Algeria,DZA,1994,100.83210000000001,204.62985,7.2106
Algeria,DZA,1995,98.07579,219.91167000000002,7.2106
Algeria,DZA,1996,93.73780000000001,225.87786000000003,3.39596
Algeria,DZA,1997,92.87718000000001,211.01472000000004,5.954560000000001
Algeria,DZA,1998,95.56370999999999,218.23695,6.373240000000001
