Entity,Code,Year,Gas (terawatt-hours)
Africa,,1965,10.552653000000003
Africa,,1966,11.788922000000001
Africa,,1967,11.660342
Africa,,1968,11.901662
Africa,,1969,14.177457000000002
Africa,,1970,17.536895
Africa,,1971,20.02041699
Africa,,1972,26.614329056510996
Africa,,1973,42.48090161999999
Africa,,1974,47.545589956510995
Africa,,1975,57.618468650000004
Africa,,1976,65.74713429
Africa,,1977,73.58644182
Africa,,1978,105.14898662
Africa,,1979,160.88627512
Africa,,1980,204.149021733884
Africa,,1981,249.78072977614502
Africa,,1982,269.467138229013
Africa,,1983,296.3740990882691
Africa,,1984,283.705528462274
Africa,,1985,303.252363399867
Africa,,1986,341.214647314617
Africa,,1987,351.612582344789
Africa,,1988,390.01233279110204
Africa,,1989,404.119812341564
Africa,,1990,414.13648976796304
Africa,,1991,417.7836237877321
Africa,,1992,445.30251908961304
Africa,,1993,445.069970322745
Africa,,1994,465.73978750209903
Africa,,1995,496.700700977733
Africa,,1996,523.399703486231
Africa,,1997,514.0855153120035
Africa,,1998,542.9009104364476
Africa,,1999,545.5149524602233
Africa,,2000,602.7971663213591
Africa,,2001,687.4480374503804
Africa,,2002,726.1882411297113
Africa,,2003,773.9899824872456
Africa,,2004,851.3665505770233
Africa,,2005,890.0315285291263
Africa,,2006,937.7663214040687
Africa,,2007,1011.8871610126652
Africa,,2008,1054.1270701438275
Africa,,2009,1041.7276664330097
Africa,,2010,1114.1311341117519
Africa,,2011,1185.5756568776796
Africa,,2012,1262.8046079068367
Africa,,2013,1289.4776103756092
Africa,,2014,1329.6518543285388
Africa,,2015,1421.6335620221753
Africa,,2016,1446.1134800573848
Algeria,DZA,1965,8.08285
Algeria,DZA,1966,8.39686
Algeria,DZA,1967,8.141000000000002
Algeria,DZA,1968,8.55968
Algeria,DZA,1969,11.25784
Algeria,DZA,1970,10.583300000000001
Algeria,DZA,1971,12.01379
Algeria,DZA,1972,13.956000000000001
Algeria,DZA,1973,19.4221
Algeria,DZA,1974,22.480790000000002
Algeria,DZA,1975,30.982320000000005
Algeria,DZA,1976,36.6345
Algeria,DZA,1977,39.04191000000001
Algeria,DZA,1978,62.69733
Algeria,DZA,1979,88.65549000000001
Algeria,DZA,1980,119.00979000000001
Algeria,DZA,1981,154.70226
Algeria,DZA,1982,175.53159000000002
Algeria,DZA,1983,192.17412000000002
Algeria,DZA,1984,168.83271
Algeria,DZA,1985,167.26266
Algeria,DZA,1986,183.1725
Algeria,DZA,1987,187.35930000000002
Algeria,DZA,1988,211.11939
Algeria,DZA,1989,198.66366000000002
Algeria,DZA,1990,212.16609000000003
Algeria,DZA,1991,209.54934000000003
Algeria,DZA,1992,216.35289000000003
Algeria,DZA,1993,194.16285000000002
Algeria,DZA,1994,204.62985
Algeria,DZA,1995,219.91167000000002
Algeria,DZA,1996,225.87786000000003
Algeria,DZA,1997,211.01472000000004
Algeria,DZA,1998,218.23695
Algeria,DZA,1999,223.05177000000003
Algeria,DZA,2000,207.72343
Algeria,DZA,2001,214.58513000000002
Algeria,DZA,2002,211.88697000000002
Algeria,DZA,2003,223.94728
Algeria,DZA,2004,230.43682
Algeria,DZA,2005,243.117009
Algeria,DZA,2006,248.48658000000006
Algeria,DZA,2007,254.26035612307692
Algeria,DZA,2008,265.39078500000005
Algeria,DZA,2009,285.047811
Algeria,DZA,2010,275.42863800000003
Algeria,DZA,2011,291.41174700000005
Algeria,DZA,2012,324.874746
Algeria,DZA,2013,349.315191
Algeria,DZA,2014,392.491566
Algeria,DZA,2015,412.3998
Algeria,DZA,2016,418.68
Argentina,ARG,1965,44.38008000000001
Argentina,ARG,1966,48.066790000000005
Argentina,ARG,1967,50.264860000000006
Argentina,ARG,1968,55.96356000000001
Argentina,ARG,1969,55.75422000000001
Argentina,ARG,1970,63.011340000000004
Argentina,ARG,1971,65.30849999999991
Argentina,ARG,1972,74.83049999999989
Argentina,ARG,1973,83.34899999999988
Argentina,ARG,1974,82.14899999999987
Argentina,ARG,1975,91.33074999999985
Argentina,ARG,1976,96.65024999999986
Argentina,ARG,1977,99.61599999999986
Argentina,ARG,1978,96.96999999999986
Argentina,ARG,1979,105.58474999999983
Argentina,ARG,1980,117.80449999999983
Argentina,ARG,1981,121.95899999999982
Argentina,ARG,1982,131.5842499999998
Argentina,ARG,1983,146.13549999999978
Argentina,ARG,1984,156.30499999999975
Argentina,ARG,1985,160.62699999999975
Argentina,ARG,1986,184.53949999999972
Argentina,ARG,1987,186.74974999999972
Argentina,ARG,1988,217.68249999999966
Argentina,ARG,1989,232.16599999999963
Argentina,ARG,1990,219.05549999999968
Argentina,ARG,1991,233.15499999999966
Argentina,ARG,1992,240.23974999999962
Argentina,ARG,1993,235.68099999999967
Argentina,ARG,1994,245.66799999999964
Argentina,ARG,1995,271.8752499999996
Argentina,ARG,1996,300.04324999999955
Argentina,ARG,1997,305.7102499999995
Argentina,ARG,1998,317.4089999999995
Argentina,ARG,1999,346.01074999999946
Argentina,ARG,2000,363.20849999999945
Argentina,ARG,2001,339.8659999999995
Argentina,ARG,2002,334.3707499999995
Argentina,ARG,2003,368.68624999999946
Argentina,ARG,2004,396.80397000000005
Argentina,ARG,2005,422.8668
Argentina,ARG,2006,437.5206
Argentina,ARG,2007,459.7106400000001
Argentina,ARG,2008,464.83947000000006
