Entity,Code,Year,Coal (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours)
World,OWID_WRL,1800,97.2223,0,0
World,OWID_WRL,1810,127.77788,0,0
World,OWID_WRL,1820,152.7779,0,0
World,OWID_WRL,1830,263.8891,0,0
World,OWID_WRL,1840,355.55584,0,0
World,OWID_WRL,1850,569.4449,0,0
World,OWID_WRL,1860,1061.11196,0,0
World,OWID_WRL,1870,1641.66798,5.55556,0
World,OWID_WRL,1880,2541.6687,33.33336,0
World,OWID_WRL,1890,3855.55864,88.88896,33.33336
World,OWID_WRL,1900,5727.78236,180.5557,63.88894
World,OWID_WRL,1910,8655.56248,397.22254,141.66678
World,OWID_WRL,1920,9833.3412,888.8896,233.33352
World,OWID_WRL,1930,10125.0081,1755.55696,602.77826
World,OWID_WRL,1940,11586.12038,2652.7799,875.0007
World,OWID_WRL,1950,12602.78786,5444.4488,2091.66834
World,OWID_WRL,1960,15441.67902,11097.2311,4472.2258
World,OWID_WRL,1965,16322.44092,17740.36827,6823.934577
World,OWID_WRL,1966,16512.65763,19104.36441,7426.217421
World,OWID_WRL,1967,16247.40207,20468.91567,7961.256227
World,OWID_WRL,1968,16493.29564,22225.38535,8668.151001
World,OWID_WRL,1969,17008.4716,24130.44943,9510.132872
World,OWID_WRL,1970,17244.48525,26202.09329,10350.9762
World,OWID_WRL,1971,17139.94314,27745.80155,11048.31053
World,OWID_WRL,1972,17338.40421,29867.50948,11634.66841
World,OWID_WRL,1973,17862.41092,32206.67633,12153.54337
World,OWID_WRL,1974,17872.71335,31737.45207,12408.64757
World,OWID_WRL,1975,18217.78258,31379.57182,12377.59393
World,OWID_WRL,1976,18888.19275,33436.49447,13084.99176
World,OWID_WRL,1977,19444.22377,34563.85832,13487.86548
World,OWID_WRL,1978,19659.08926,35545.19876,14034.26272
World,OWID_WRL,1979,20578.43837,36132.25398,14902.18784
World,OWID_WRL,1980,21082.11321,34728.24131,15019.78524
World,OWID_WRL,1981,21381.08784,33444.6795,15173.09253
World,OWID_WRL,1982,21607.77129,32375.66169,15217.6112
World,OWID_WRL,1983,22272.26008,32152.29241,15422.60601
World,OWID_WRL,1984,23246.35751,32867.61133,16685.70859
World,OWID_WRL,1985,24158.77054,32881.90111,17238.25674
World,OWID_WRL,1986,24434.12552,33894.40315,17388.7886
World,OWID_WRL,1987,25407.0565,34567.92886,18287.8572
World,OWID_WRL,1988,26164.30397,35736.80678,19135.61251
World,OWID_WRL,1989,26428.58778,36334.02916,20010.26924
World,OWID_WRL,1990,26125.71752,36754.13661,20555.37089
World,OWID_WRL,1991,25837.70315,36780.36112,21111.11064
World,OWID_WRL,1992,25754.67743,37400.62836,21212.90741
World,OWID_WRL,1993,25881.25539,37073.19552,21421.02259
World,OWID_WRL,1994,26027.21237,37882.32542,21573.29342
World,OWID_WRL,1995,26166.42026,38352.69791,22325.39032
World,OWID_WRL,1996,26827.282,39206.17407,23405.25293
World,OWID_WRL,1997,26868.04001,40179.75478,23390.79648
World,OWID_WRL,1998,26669.06593,40510.60205,23795.44616
World,OWID_WRL,1999,26808.32277,41336.84028,24393.92707
World,OWID_WRL,2000,27734.28347,41747.30842,25373.43815
World,OWID_WRL,2001,28174.87074,42148.06685,25801.53362
World,OWID_WRL,2002,29258.89831,42509.72115,26518.27189
World,OWID_WRL,2003,31804.60749,43520.59623,27262.35127
World,OWID_WRL,2004,33987.20868,45173.20033,28238.52485
World,OWID_WRL,2005,36451.83029,45779.40114,29065.6228
World,OWID_WRL,2006,38307.76836,46336.15711,29923.81715
World,OWID_WRL,2007,40474.28993,47007.63802,31146.16529
World,OWID_WRL,2008,41035.15978,46814.2565,31959.42611
World,OWID_WRL,2009,40427.43115,46004.24472,31116.35515
World,OWID_WRL,2010,42282.4673,47513.45791,33427.49678
World,OWID_WRL,2011,44277.59112,47982.28,34033.08509
World,OWID_WRL,2012,44395.06224,48569.02647,35012.27319
World,OWID_WRL,2013,45205.49828,49088.50592,35522.2638
World,OWID_WRL,2014,45233.99218,49483.64369,35738.83055
World,OWID_WRL,2015,44015.53033,50485.32693,36596.65882
World,OWID_WRL,2016,43403.14283,51384.22021,37264.17119
