Entity,Code,Year,Oil (terawatt-hours)
Africa,,1965,316.77730010650544
Africa,,1966,347.368863196162
Africa,,1967,344.12966847072107
Africa,,1968,363.1425067293242
Africa,,1969,368.62993197182993
Africa,,1970,409.3456166173373
Africa,,1971,460.74091830108034
Africa,,1972,499.339412312327
Africa,,1973,536.6344732406361
Africa,,1974,555.1184176935685
Africa,,1975,581.4164769899894
Africa,,1976,650.0473991073231
Africa,,1977,684.2800918018633
Africa,,1978,716.2458667995543
Africa,,1979,760.3071803837969
Africa,,1980,811.9596630846279
Africa,,1981,859.8852986061552
Africa,,1982,904.4871091015399
Africa,,1983,936.0344543904683
Africa,,1984,957.2511329116078
Africa,,1985,978.2712109443971
Africa,,1986,963.1666388505593
Africa,,1987,1011.3645102369136
Africa,,1988,1061.4132572460203
Africa,,1989,1096.8542052640466
Africa,,1990,1115.9536500020645
Africa,,1991,1118.1862596750286
Africa,,1992,1139.430475017275
Africa,,1993,1154.3631994597772
Africa,,1994,1179.9130028361992
Africa,,1995,1222.5070828783246
Africa,,1996,1254.7578380231882
Africa,,1997,1291.835820276938
Africa,,1998,1322.5981017282754
Africa,,1999,1371.20370452099
Africa,,2000,1377.3017696115571
Africa,,2001,1393.6522947681874
Africa,,2002,1417.2403455366084
Africa,,2003,1453.7952453513112
Africa,,2004,1526.0425242100332
Africa,,2005,1605.6788553979438
Africa,,2006,1606.4606853863402
Africa,,2007,1675.3050747905145
Africa,,2008,1763.8605428046546
Africa,,2009,1821.436026889642
Africa,,2010,1913.0560884812635
Africa,,2011,1854.332346155414
Africa,,2012,1960.8563202702264
Africa,,2013,2039.5734653670916
Africa,,2014,2064.526722178909
Africa,,2015,2117.744464361529
Africa,,2016,2156.14391639837
Algeria,DZA,1965,14.99107
Algeria,DZA,1966,19.689590000000003
Algeria,DZA,1967,18.352140000000002
Algeria,DZA,1968,19.561660000000007
Algeria,DZA,1969,20.643250000000002
Algeria,DZA,1970,23.632160000000002
Algeria,DZA,1971,26.609440000000006
Algeria,DZA,1972,29.23782
Algeria,DZA,1973,31.854570000000006
Algeria,DZA,1974,35.30868000000001
Algeria,DZA,1975,39.286139999999996
Algeria,DZA,1976,45.08951000000001
Algeria,DZA,1977,51.172000000000004
Algeria,DZA,1978,52.57923
Algeria,DZA,1979,63.034600000000005
Algeria,DZA,1980,63.604469999999985
Algeria,DZA,1981,68.48907000000001
Algeria,DZA,1982,72.62935
Algeria,DZA,1983,81.53793
Algeria,DZA,1984,90.24880000000002
Algeria,DZA,1985,92.64458000000002
Algeria,DZA,1986,93.94714
Algeria,DZA,1987,94.87754000000002
Algeria,DZA,1988,94.99384000000002
Algeria,DZA,1989,99.47139000000001
Algeria,DZA,1990,106.48428000000001
Algeria,DZA,1991,105.47247000000002
Algeria,DZA,1992,105.98419
Algeria,DZA,1993,105.58877000000004
Algeria,DZA,1994,100.83210000000001
Algeria,DZA,1995,98.07579
Algeria,DZA,1996,93.73780000000001
Algeria,DZA,1997,92.87718000000001
Algeria,DZA,1998,95.56370999999999
Algeria,DZA,1999,94.3193
Algeria,DZA,2000,98.65728999999999
Algeria,DZA,2001,102.13466000000001
Algeria,DZA,2002,113.20642000000001
Algeria,DZA,2003,117.75375000000001
Algeria,DZA,2004,123.16170000000002
Algeria,DZA,2005,128.33002548000002
Algeria,DZA,2006,133.92991700000002
Algeria,DZA,2007,150.03358624345003
Algeria,DZA,2008,163.06106664
Algeria,DZA,2009,172.91484000000003
Algeria,DZA,2010,172.53105
Algeria,DZA,2011,184.11452999999997
Algeria,DZA,2012,195.63986
Algeria,DZA,2013,204.24606000000003
Algeria,DZA,2014,205.38580000000002
Algeria,DZA,2015,226.35003799999998
Algeria,DZA,2016,219.719775
Argentina,ARG,1965,256.4377304768497
Argentina,ARG,1966,264.6602893864518
Argentina,ARG,1967,270.98593236374563
Argentina,ARG,1968,276.74532261399463
Argentina,ARG,1969,287.2598275295926
Argentina,ARG,1970,257.2581736284978
Argentina,ARG,1971,274.58430000000004
Argentina,ARG,1972,274.85179000000005
Argentina,ARG,1973,275.4681800000001
Argentina,ARG,1974,277.44527999999997
Argentina,ARG,1975,260.84927000000005
Argentina,ARG,1976,271.16508000000005
Argentina,ARG,1977,285.38857
Argentina,ARG,1978,285.24901000000006
Argentina,ARG,1979,301.79850000000005
Argentina,ARG,1980,282.13217000000003
Argentina,ARG,1981,260.80275
Argentina,ARG,1982,250.25433999999998
Argentina,ARG,1983,255.54599000000005
Argentina,ARG,1984,240.75262999999998
Argentina,ARG,1985,217.81827000000004
Argentina,ARG,1986,250.64976000000004
Argentina,ARG,1987,267.57141
Argentina,ARG,1988,267.6063
Argentina,ARG,1989,242.68320999999997
Argentina,ARG,1990,229.09937000000002
Argentina,ARG,1991,235.05393
Argentina,ARG,1992,248.17257
Argentina,ARG,1993,245.89309000000006
Argentina,ARG,1994,236.58909000000006
Argentina,ARG,1995,236.19367000000003
Argentina,ARG,1996,245.5093
Argentina,ARG,1997,245.38137000000003
Argentina,ARG,1998,251.18474
Argentina,ARG,1999,233.68158999999997
Argentina,ARG,2000,236.41464000000005
Argentina,ARG,2001,227.36650000000003
Argentina,ARG,2002,210.03780000000003
Argentina,ARG,2003,216.31799999999998
Argentina,ARG,2004,226.84315
Argentina,ARG,2005,241.47223624999998
Argentina,ARG,2006,253.1340589737726
Argentina,ARG,2007,281.1580669142118
Argentina,ARG,2008,289.3175030240107
Argentina,ARG,2009,282.92307376114593
Argentina,ARG,2010,326.44156952744856
Argentina,ARG,2011,328.7277926195202
Argentina,ARG,2012,344.2485845476918
Argentina,ARG,2013,370.4767149852923
Argentina,ARG,2014,364.3110764005024
Argentina,ARG,2015,374.27837160431324
Argentina,ARG,2016,371.05553515411873
Asia Pacific,,1965,1900.714017692419
Asia Pacific,,1966,2188.9711315017807
Asia Pacific,,1967,2554.483574490362
Asia Pacific,,1968,2921.7393486202773
Asia Pacific,,1969,3394.335116633863
Asia Pacific,,1970,3935.2394649560297
Asia Pacific,,1971,4368.6534589883095
Asia Pacific,,1972,4700.910591441239
Asia Pacific,,1973,5346.567584354064
Asia Pacific,,1974,5307.39156276965
Asia Pacific,,1975,5272.381922960965
Asia Pacific,,1976,5604.917222893472
Asia Pacific,,1977,5871.362746445261
Asia Pacific,,1978,6186.687015169852
Asia Pacific,,1979,6342.336515340512
Asia Pacific,,1980,6004.933991780345
Asia Pacific,,1981,5816.189016923274
Asia Pacific,,1982,5642.283371829973
Asia Pacific,,1983,5721.808096698355
Asia Pacific,,1984,5922.099557070148
Asia Pacific,,1985,5886.931786727237
Asia Pacific,,1986,6115.745498516483
Asia Pacific,,1987,6305.92854404932
Asia Pacific,,1988,6852.500974812632
Asia Pacific,,1989,7273.974749348211
Asia Pacific,,1990,7724.390050114478
Asia Pacific,,1991,8048.219577943045
Asia Pacific,,1992,8585.319592030255
Asia Pacific,,1993,8949.172708841086
Asia Pacific,,1994,9484.771826501361
Asia Pacific,,1995,10056.5887802425
Asia Pacific,,1996,10535.570928409737
Asia Pacific,,1997,11048.55585540167
Asia Pacific,,1998,10784.972455032179
Asia Pacific,,1999,11274.6396195308
Asia Pacific,,2000,11604.280208376198
Asia Pacific,,2001,11675.883696545505
Asia Pacific,,2002,12045.72020250987
Asia Pacific,,2003,12560.600855667055
Asia Pacific,,2004,13268.40421134176
Asia Pacific,,2005,13379.133142297009
Asia Pacific,,2006,13684.731628269765
Asia Pacific,,2007,14161.069671357425
Asia Pacific,,2008,14113.804314665147
Asia Pacific,,2009,14234.1300288325
Asia Pacific,,2010,15144.257515363466
Asia Pacific,,2011,15670.118638909677
Asia Pacific,,2012,16321.563899005381
Asia Pacific,,2013,16574.850130285486
Asia Pacific,,2014,16828.538836548232
Asia Pacific,,2015,17512.119360416276
Asia Pacific,,2016,18110.892764387667
Australia,AUS,1965,175.86886
Australia,AUS,1966,209.36326000000005
Australia,AUS,1967,229.44827
Australia,AUS,1968,249.92870000000005
Australia,AUS,1969,256.53454
Australia,AUS,1970,283.91156000000007
Australia,AUS,1971,298.79796000000005
Australia,AUS,1972,303.8919
Australia,AUS,1973,324.04669
Australia,AUS,1974,343.28271
Australia,AUS,1975,338.85168
Australia,AUS,1976,346.32977
Australia,AUS,1977,362.76296
Australia,AUS,1978,363.4277615971898
Australia,AUS,1979,369.50953579120477
Australia,AUS,1980,354.0446075254415
Australia,AUS,1981,342.22917702321126
Australia,AUS,1982,340.8405497776615
Australia,AUS,1983,337.5568861230899
Australia,AUS,1984,354.13167886591447
Australia,AUS,1985,336.4320020063613
Australia,AUS,1986,344.6249823578353
Australia,AUS,1987,351.78124192937497
Australia,AUS,1988,368.06256273115383
Australia,AUS,1989,380.79116361072056
Australia,AUS,1990,386.03978524911247
Australia,AUS,1991,375.17335849722264
Australia,AUS,1992,376.3732376408905
Australia,AUS,1993,396.1777138358688
Australia,AUS,1994,411.1069179143498
Australia,AUS,1995,423.95965815617745
Australia,AUS,1996,430.44111965606174
Australia,AUS,1997,438.18438041373554
Australia,AUS,1998,437.2823706164292
Australia,AUS,1999,451.3150661935477
Australia,AUS,2000,448.74264424796274
Australia,AUS,2001,451.6370644352571
Australia,AUS,2002,449.51127581019796
Australia,AUS,2003,448.71201804801535
Australia,AUS,2004,461.83580769958695
Australia,AUS,2005,459.2593561606271
Australia,AUS,2006,498.4686449442264
Australia,AUS,2007,494.3625180880193
Australia,AUS,2008,502.4319000130372
Australia,AUS,2009,506.19379072003636
Australia,AUS,2010,508.5184440125522
Australia,AUS,2011,538.7690613941373
Australia,AUS,2012,557.0409956940729
Australia,AUS,2013,560.0030197772546
Australia,AUS,2014,559.6826113875147
Australia,AUS,2015,556.6413102572432
Australia,AUS,2016,556.3015203419935
Austria,AUT,1965,64.67443
Austria,AUT,1966,71.12908
Austria,AUT,1967,75.74619
Austria,AUT,1968,87.64368
Austria,AUT,1969,96.27314000000001
Austria,AUT,1970,105.79811000000002
Austria,AUT,1971,118.11428
Austria,AUT,1972,127.42991000000002
Austria,AUT,1973,138.00158000000002
Austria,AUT,1974,123.42919000000002
Austria,AUT,1975,124.59219
Austria,AUT,1976,135.48950000000002
Austria,AUT,1977,129.56983000000002
Austria,AUT,1978,139.56
Austria,AUT,1979,145.42152000000002
Austria,AUT,1980,141.74644
Austria,AUT,1981,128.46498
Austria,AUT,1982,121.75447000000003
Austria,AUT,1983,117.56767
Austria,AUT,1984,114.20660000000001
Austria,AUT,1985,114.38105000000002
Austria,AUT,1986,120.68451000000002
Austria,AUT,1987,124.09209999999999
Austria,AUT,1988,122.82443
Austria,AUT,1989,120.73103000000003
Austria,AUT,1990,126.24365000000003
Austria,AUT,1991,136.00122000000005
Austria,AUT,1992,132.48896000000002
Austria,AUT,1993,133.54729
Austria,AUT,1994,131.67486
Austria,AUT,1995,131.65160000000003
Austria,AUT,1996,136.11751999999998
Austria,AUT,1997,138.64123000000004
Austria,AUT,1998,143.96777
Austria,AUT,1999,141.32776
Austria,AUT,2000,137.81550000000004
Austria,AUT,2001,149.89907000000002
Austria,AUT,2002,153.05079999999998
Austria,AUT,2003,165.58794
Austria,AUT,2004,161.08713
Austria,AUT,2005,162.7037
Austria,AUT,2006,164.71569000000005
Austria,AUT,2007,156.14438
Austria,AUT,2008,155.3768
Austria,AUT,2009,149.39898000000002
Austria,AUT,2010,155.60302676000003
Austria,AUT,2011,147.30558000000005
Austria,AUT,2012,145.5964427622201
Austria,AUT,2013,148.10805000000002
Austria,AUT,2014,145.00284000000002
Austria,AUT,2015,144.850814831323
Austria,AUT,2016,147.20073025213662
Azerbaijan,AZE,1985,95.96919109858533
Azerbaijan,AZE,1986,100.59250165684645
Azerbaijan,AZE,1987,94.71774734081906
Azerbaijan,AZE,1988,97.04921139841508
Azerbaijan,AZE,1989,94.67277910791246
Azerbaijan,AZE,1990,99.35376425589314
Azerbaijan,AZE,1991,95.8315802782445
Azerbaijan,AZE,1992,93.40614013550136
Azerbaijan,AZE,1993,93.04888796747969
Azerbaijan,AZE,1994,84.51306680216804
Azerbaijan,AZE,1995,76.52804747967481
Azerbaijan,AZE,1996,69.04437886178863
Azerbaijan,AZE,1997,65.66647845528455
Azerbaijan,AZE,1998,69.16795943089431
Azerbaijan,AZE,1999,66.60292983739839
Azerbaijan,AZE,2000,73.62540119241194
Azerbaijan,AZE,2001,46.48425902439025
Azerbaijan,AZE,2002,42.62395
Azerbaijan,AZE,2003,49.68336000000001
Azerbaijan,AZE,2004,52.148920000000004
Azerbaijan,AZE,2005,62.52288
Azerbaijan,AZE,2006,55.89378000000001
Azerbaijan,AZE,2007,52.61411999999999
Azerbaijan,AZE,2008,41.759841
Azerbaijan,AZE,2009,38.519723000000006
Azerbaijan,AZE,2010,37.410661777
Azerbaijan,AZE,2011,46.367647
Azerbaijan,AZE,2012,48.47384000000002
Azerbaijan,AZE,2013,52.83392700000001
Azerbaijan,AZE,2014,51.71179814285714
Azerbaijan,AZE,2015,52.72244514285715
Azerbaijan,AZE,2016,53.654177472015675
Bangladesh,BGD,1971,7.861880000000001
Bangladesh,BGD,1972,9.711050000000002
Bangladesh,BGD,1973,11.013610000000002
Bangladesh,BGD,1974,11.420660000000002
Bangladesh,BGD,1975,13.327980000000002
Bangladesh,BGD,1976,14.421200000000004
Bangladesh,BGD,1977,14.211860000000003
Bangladesh,BGD,1978,15.107370000000003
Bangladesh,BGD,1979,16.735570000000003
Bangladesh,BGD,1980,18.89875
Bangladesh,BGD,1981,19.480249999999998
Bangladesh,BGD,1982,19.189500000000002
Bangladesh,BGD,1983,17.165880000000005
Bangladesh,BGD,1984,17.31707
Bangladesh,BGD,1985,19.3058
Bangladesh,BGD,1986,20.817700000000002
Bangladesh,BGD,1987,20.468799999999998
Bangladesh,BGD,1988,20.526950000000003
Bangladesh,BGD,1989,22.35286
Bangladesh,BGD,1990,21.631800000000005
Bangladesh,BGD,1991,20.026860000000003
Bangladesh,BGD,1992,22.364489999999996
Bangladesh,BGD,1993,25.132430000000003
Bangladesh,BGD,1994,26.132609999999996
Bangladesh,BGD,1995,34.11079
Bangladesh,BGD,1996,34.773700000000005
Bangladesh,BGD,1997,39.879270000000005
Bangladesh,BGD,1998,44.11259
Bangladesh,BGD,1999,39.20473
Bangladesh,BGD,2000,38.658120000000004
Bangladesh,BGD,2001,46.019909999999996
Bangladesh,BGD,2002,46.08738726
Bangladesh,BGD,2003,47.78817009
Bangladesh,BGD,2004,44.84732687999999
Bangladesh,BGD,2005,45.0631099
Bangladesh,BGD,2006,45.62195466
Bangladesh,BGD,2007,43.1348559
Bangladesh,BGD,2008,43.848286619999996
Bangladesh,BGD,2009,40.968477650000004
Bangladesh,BGD,2010,45.53482270000001
Bangladesh,BGD,2011,59.12719912000001
Bangladesh,BGD,2012,63.29797297999999
Bangladesh,BGD,2013,61.539784469999994
Bangladesh,BGD,2014,66.89277004231586
Bangladesh,BGD,2015,72.0351068433257
Bangladesh,BGD,2016,76.5494850580095
Belarus,BLR,1985,295.349909580875
Belarus,BLR,1986,348.9446115047512
Belarus,BLR,1987,345.13746274572827
Belarus,BLR,1988,334.3260035743889
Belarus,BLR,1989,313.0428594867924
Belarus,BLR,1990,289.4598148464409
Belarus,BLR,1991,279.89018288856704
Belarus,BLR,1992,238.44989000000007
Belarus,BLR,1993,168.90249000000006
Belarus,BLR,1994,137.31540999999999
Belarus,BLR,1995,124.39448000000003
Belarus,BLR,1996,122.23130000000003
Belarus,BLR,1997,106.49591000000002
Belarus,BLR,1998,100.55297999999999
Belarus,BLR,1999,92.21427
Belarus,BLR,2000,90.92334000000001
Belarus,BLR,2001,88.84156999999999
Belarus,BLR,2002,92.52828
Belarus,BLR,2003,94.59842
Belarus,BLR,2004,94.41234000000001
Belarus,BLR,2005,87.50412
Belarus,BLR,2006,102.36726000000002
Belarus,BLR,2007,93.28423
Belarus,BLR,2008,91.97004
Belarus,BLR,2009,107.85661999999999
Belarus,BLR,2010,86.93425
Belarus,BLR,2011,99.98311
Belarus,BLR,2012,121.48697999999999
Belarus,BLR,2013,82.99168000000002
Belarus,BLR,2014,94.51701000000001
Belarus,BLR,2015,89.62895180967935
Belarus,BLR,2016,87.65111148498342
Belgium,BEL,1965,185.38219999999998
Belgium,BEL,1966,189.06891000000002
Belgium,BEL,1967,208.65383
Belgium,BEL,1968,242.53202000000002
Belgium,BEL,1969,279.7363900000001
Belgium,BEL,1970,304.83393000000007
Belgium,BEL,1971,312.32365000000004
Belgium,BEL,1972,338.14225000000005
Belgium,BEL,1973,355.42443
Belgium,BEL,1974,312.55625000000003
Belgium,BEL,1975,295.4485200000001
Belgium,BEL,1976,308.03218000000004
Belgium,BEL,1977,303.01965
Belgium,BEL,1978,323.29074
Belgium,BEL,1979,321.42994
Belgium,BEL,1980,297.34421000000003
Belgium,BEL,1981,272.47927000000004
Belgium,BEL,1982,257.91851
Belgium,BEL,1983,233.49551000000002
Belgium,BEL,1984,225.54059000000004
Belgium,BEL,1985,228.69232000000002
Belgium,BEL,1986,258.94195
Belgium,BEL,1987,260.8609
Belgium,BEL,1988,268.94375
Belgium,BEL,1989,263.98937000000006
Belgium,BEL,1990,277.42202000000003
Belgium,BEL,1991,298.83285
Belgium,BEL,1992,305.5317300000001
