Entity,Code,Year,Oil production (Etemad & Luciana) (terawatt-hours)
Albania,ALB,1933,0.02326
Albania,ALB,1934,0.02326
Albania,ALB,1935,0.069780001
Albania,ALB,1936,0.476830005
Albania,ALB,1937,1.093220011
Albania,ALB,1938,1.325820013
Albania,ALB,1939,1.639830016
Albania,ALB,1940,2.628380026
Albania,ALB,1941,2.349260023
Albania,ALB,1942,2.814460028
Albania,ALB,1943,1.756130017
Albania,ALB,1944,0.581500006
Albania,ALB,1945,0.465200005
Albania,ALB,1946,1.756130017
Albania,ALB,1947,3.512260035
Albania,ALB,1948,2.640010026
Albania,ALB,1949,3.849530038
Albania,ALB,1950,1.535160015
Albania,ALB,1951,1.418860014
Albania,ALB,1952,1.732870017
Albania,ALB,1953,1.744500017
Albania,ALB,1954,2.03525002
Albania,ALB,1955,2.419040024
Albania,ALB,1956,3.09358003
Albania,ALB,1957,5.698700056
Albania,ALB,1958,4.686890046
Albania,ALB,1959,5.570770055
Albania,ALB,1960,8.466640083
Albania,ALB,1961,8.966730088
Albania,ALB,1962,9.12955009
Albania,ALB,1963,8.734130086
Albania,ALB,1964,8.885320087
Albania,ALB,1965,9.559860094
Albania,ALB,1966,10.3041801
Albania,ALB,1967,11.44392011
Albania,ALB,1968,13.18842013
Albania,ALB,1969,15.20041015
Albania,ALB,1970,17.29381017
Albania,ALB,1971,19.27091019
Albania,ALB,1972,25.00450025
Albania,ALB,1973,24.50441024
Albania,ALB,1974,20.5851002
Albania,ALB,1975,21.16660021
Albania,ALB,1976,22.09700022
Albania,ALB,1977,22.67850022
Albania,ALB,1978,24.42300024
Albania,ALB,1979,24.42300024
Albania,ALB,1980,25.94136137
Albania,ALB,1981,25.94136137
Albania,ALB,1982,37.73288926
Albania,ALB,1983,44.2182296
Albania,ALB,1984,32.42670171
Albania,ALB,1985,32.42670171
Albania,ALB,1986,32.19880685
Albania,ALB,1987,31.61324547
Albania,ALB,1988,25.69131023
Albania,ALB,1989,27.55433036
Albania,ALB,1990,17.51850201
Albania,ALB,1991,10.98068937
Albania,ALB,1992,6.094834417
Albania,ALB,1993,6.555494037
Albania,ALB,1994,6.721259336
Albania,ALB,1995,5.83524393
Albania,ALB,1996,5.687325108
Albania,ALB,1997,5.509815447
Albania,ALB,1998,3.782450943
Albania,ALB,1999,3.283138695
Albania,ALB,2000,3.337061352
Albania,ALB,2001,3.533944493
Albania,ALB,2002,3.727502423
Albania,ALB,2003,3.963215066
Albania,ALB,2004,3.949477936
Albania,ALB,2005,4.118138055
Albania,ALB,2006,4.606991218
Albania,ALB,2007,3.832983536
Albania,ALB,2008,3.5588482
Albania,ALB,2009,3.178459406
Albania,ALB,2010,6.41050541
Albania,ALB,2011,9.164558248
Albania,ALB,2012,9.943382769
Albania,ALB,2013,10.04488424
Albania,ALB,2014,12.1075939
Algeria,DZA,1916,0.01163
Algeria,DZA,1917,0.01163
Algeria,DZA,1918,0.01163
Algeria,DZA,1919,0.01163
Algeria,DZA,1920,0.01163
Algeria,DZA,1922,0.01163
Algeria,DZA,1923,0.01163
Algeria,DZA,1924,0.02326
Algeria,DZA,1925,0.02326
Algeria,DZA,1926,0.01163
Algeria,DZA,1927,0.01163
Algeria,DZA,1928,0.01163
Algeria,DZA,1929,0.03489
Algeria,DZA,1930,0.02326
Algeria,DZA,1931,0.01163
Algeria,DZA,1932,0.01163
Algeria,DZA,1933,0.01163
Algeria,DZA,1944,0.01163
Algeria,DZA,1950,0.03489
Algeria,DZA,1951,0.081410001
Algeria,DZA,1952,0.534980005
Algeria,DZA,1953,0.98855001
Algeria,DZA,1954,0.848990008
Algeria,DZA,1955,0.639650006
Algeria,DZA,1956,0.395420004
Algeria,DZA,1957,0.244230002
Algeria,DZA,1958,4.989270049
Algeria,DZA,1959,14.32816014
Algeria,DZA,1960,100.390161
Algeria,DZA,1961,182.0909118
Algeria,DZA,1962,238.4964123
Algeria,DZA,1963,274.8983127
Algeria,DZA,1964,308.067073
Algeria,DZA,1965,307.974033
Algeria,DZA,1966,393.8150639
Algeria,DZA,1967,454.4422545
Algeria,DZA,1968,498.9735249
