year,SeaLevel,Coal,Oil,Gas,CO2-Concentration,TempGlobal,TempLand
1900,-130.1,5727.78236,180.5557,63.88894,1880.29881,15.1439166667,8.50158333333
1901,-130.5,5727.78236,180.5557,63.88894,1942.99709,15.0733333333,8.54191666667
1902,-125.9,5727.78236,180.5557,63.88894,1996.90205,14.9583333333,8.30441666667
1903,-117.9,5727.78236,180.5557,63.88894,2186.94199,14.8365833333,8.22016666667
1904,-128.2,5727.78236,180.5557,63.88894,2202.66794,14.8104166667,8.09091666667
1905,-133.7,5727.78236,180.5557,63.88894,2358.98058,14.9546666667,8.22516666667
1906,-126.9,5727.78236,180.5557,63.88894,2470.98898,15.0319166667,8.37908333333
1907,-128.3,5727.78236,180.5557,63.88894,2795.31422,14.8748333333,7.94716666667
1908,-130.8,5727.78236,180.5557,63.88894,2685.51149,14.8381666667,8.18608333333
1909,-126.3,5727.78236,180.5557,63.88894,2789.82023,14.7903333333,8.17825
1910,-126.4,8655.56248,397.22254,141.66678,2932.58323,14.8190833333,8.223
1911,-118.1,8655.56248,397.22254,141.66678,2984.42565,14.776,8.177
1912,-121.2,8655.56248,397.22254,141.66678,3116.73649,14.8771666667,8.16541666667
1913,-119.4,8655.56248,397.22254,141.66678,3369.27653,14.90875,8.29775
1914,-113.1,8655.56248,397.22254,141.66678,3061.41491,15.07625,8.5905
1915,-105.2,8655.56248,397.22254,141.66678,3027.37933,15.14375,8.59316666667
1916,-107.1,8655.56248,397.22254,141.66678,3267.9882,14.9013333333,8.22525
1917,-111.6,8655.56248,397.22254,141.66678,3433.36941,14.80975,8.02333333333
1918,-113.2,8655.56248,397.22254,141.66678,3445.28223,14.9598333333,8.13083333333
1919,-111.6,8655.56248,397.22254,141.66678,2983.11913,15.00675,8.38225
1920,-110.3,9833.3412,888.8896,233.33352,3476.40383,15.02625,8.35875
1921,-108.2,9833.3412,888.8896,233.33352,3042.55111,15.1020833333,8.571
1922,-109.1,9833.3412,888.8896,233.33352,3182.42215,15.0123333333,8.408
1923,-107.9,9833.3412,888.8896,233.33352,3611.96996,15.0278333333,8.42216666667
1924,-115.2,9833.3412,888.8896,233.33352,3614.73347,15.0393333333,8.50683333333
1925,-113.2,9833.3412,888.8896,233.33352,3639.64543,15.0903333333,8.53441666667
1926,-106.7,9833.3412,888.8896,233.33352,3546.688,15.2410833333,8.72883333333
1927,-107.8,9833.3412,888.8896,233.33352,3863.02732,15.12225,8.52208333333
1928,-111.7,9833.3412,888.8896,233.33352,3846.29579,15.13225,8.63216666667
1929,-110.3,9833.3412,888.8896,233.33352,4129.32252,14.9674166667,8.24241666667
1930,-106.3,10125.0081,1755.55696,602.77826,3756.33675,15.1725,8.63358333333
1931,-106.7,10125.0081,1755.55696,602.77826,3308.77658,15.22825,8.71925
1932,-101.0,10125.0081,1755.55696,602.77826,2939.90855,15.188,8.70525
1933,-96.7,10125.0081,1755.55696,602.77826,3082.44401,15.0129166667,8.33825
1934,-102.1,10125.0081,1755.55696,602.77826,3323.12261,15.1445,8.62833333333
1935,-96.5,10125.0081,1755.55696,602.77826,3462.61564,15.1188333333,8.51575
1936,-100.4,10125.0081,1755.55696,602.77826,3788.26942,15.1661666667,8.554
1937,-94.7,10125.0081,1755.55696,602.77826,4066.48478,15.3005,8.69833333333
1938,-92.1,10125.0081,1755.55696,602.77826,3780.83767,15.2930833333,8.86366666667
1939,-86.9,10125.0081,1755.55696,602.77826,4013.2184,15.3023333333,8.76033333333
1940,-92.2,11586.12038,2652.7799,875.0007,4339.40433,15.3720833333,8.76466666667
1941,-80.0,11586.12038,2652.7799,875.0007,4516.45981,15.3846666667,8.76866666667
1942,-80.0,11586.12038,2652.7799,875.0007,4693.84192,15.3253333333,8.72841666667
1943,-80.0,11586.12038,2652.7799,875.0007,4763.86919,15.345,8.75508333333
1944,-86.4,11586.12038,2652.7799,875.0007,4735.37164,15.4490833333,8.845
1945,-83.6,11586.12038,2652.7799,875.0007,3867.2625,15.33075,8.58483333333
1946,-76.1,11586.12038,2652.7799,875.0007,4203.83086,15.26275,8.67691666667
1947,-73.0,11586.12038,2652.7799,875.0007,4607.58591,15.3101666667,8.79708333333
1948,-68.2,11586.12038,2652.7799,875.0007,4848.80033,15.2611666667,8.74675
1949,-69.5,11586.12038,2652.7799,875.0007,4609.78424,15.22275,8.58675
1950,-67.3,12602.78786,5444.4488,2091.66834,5073.14009,15.1395,8.36525
1951,-57.8,12602.78786,5444.4488,2091.66834,5444.43766,15.3111666667,8.62566666667
1952,-60.4,12602.78786,5444.4488,2091.66834,5477.5851,15.3630833333,8.63825
1953,-56.0,12602.78786,5444.4488,2091.66834,5605.69379,15.4210833333,8.87375
